Time,Mean_Error,a_x,a_y,a_yaw,a_v_cmd,a_w_cmd,a_err_x,a_err_y,b_x,b_y,b_yaw,b_v_cmd,b_w_cmd,b_err_x,b_err_y,c_x,c_y,c_yaw,c_v_cmd,c_w_cmd,c_err_x,c_err_y,d_x,d_y,d_yaw,d_v_cmd,d_w_cmd,d_err_x,d_err_y,e_x,e_y,e_yaw,e_v_cmd,e_w_cmd,e_err_x,e_err_y
6.3e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0500132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.099958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.150013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.200017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.249983,0.403982,2.5108,-1.20875,2.87828,0,0,-0.220744,0.0208364,2.0715,-0.334253,2.51081,0.031299,-1,-0.612466,-0.0055502,0,0,0,0.193259,-1,0.0267228,-0.0248926,1.92906,2.21511,-2.80574,0,0,-0.796046,0.267925,0,0,0,0.221666,-1,0.228827,0.208023
0.300131,0.4025,2.51065,-1.20866,2.87899,0,0,-0.216502,0.0209814,2.07148,-0.334246,2.51092,0.031271,-1,-0.608561,-0.00560467,0,0,0,0.196267,-1,0.0297559,-0.0233155,1.92887,2.21504,-2.80631,0,0,-0.792006,0.268251,0,0,0,0.222371,-1,0.232929,0.208167
0.350019,0.401353,2.51081,-1.20873,2.87842,0,0,-0.21246,0.0210729,2.07149,-0.334117,2.51065,0.0312589,-1,-0.604532,-0.0056327,0,0,0,0.196214,-1,0.0337629,-0.0233626,1.92904,2.21513,-2.80587,0,0,-0.787937,0.267963,0,0,0,0.221857,-1,0.236956,0.20814
0.400107,0.400255,2.51072,-1.20876,2.87894,0,0,-0.20852,0.0210803,2.0719,-0.335737,2.50739,0.031816,-1,-0.600025,-0.00590863,0,0,0,0.196188,-1,0.0377453,-0.0233935,1.9288,2.21504,-2.80656,0,0,-0.783884,0.268255,0,0,0,0.222645,-1,0.24119,0.208348
0.45004,0.398871,2.51074,-1.20873,2.87882,0,0,-0.20454,0.0210436,2.07149,-0.340881,2.48937,0.0368746,-1,-0.592977,-0.00694777,0,0,0,0.196829,-1,0.0419371,-0.0232421,1.92873,2.21521,-2.80568,0,0,-0.780214,0.268107,0,0,0,0.224846,-1,0.246072,0.208886
0.500087,0.397503,2.51072,-1.20878,2.8787,0,0,-0.200628,0.0208525,2.07074,-0.34653,2.46758,0.0421278,-1,-0.58666,-0.00755844,0,0,0,0.201879,-1,0.045931,-0.0218684,1.92881,2.21509,-2.8058,0,0,-0.776086,0.268046,0,0,0,0.229522,-1,0.251962,0.208673
0.5501,0.396334,2.51074,-1.20892,2.87802,0,0,-0.19657,0.0209255,2.06866,-0.352733,2.44259,0.0524032,-1,-0.578658,-0.00800651,0,0,0,0.213998,-1,0.0523725,-0.0198307,1.92878,2.21523,-2.8054,0,0,-0.7721,0.267948,0,0,0,0.24,-0.992517,0.257328,0.209781
0.60007,0.395154,2.51096,-1.20897,2.87637,0,0,-0.192218,0.0213532,2.06528,-0.361327,2.40642,0.0637164,-1,-0.570908,-0.00842388,0,0,0,0.227586,-1,0.0577698,-0.0180193,1.92896,2.21514,-2.80661,0,0,-0.768042,0.268202,0,0,0,0.24,-0.929732,0.262739,0.211612
0.65007,0.393272,2.51114,-1.20871,2.87776,0,0,-0.188154,0.0212144,2.05972,-0.371309,2.36129,0.0781775,-1,-0.563166,-0.00857195,0,0,0,0.24,-0.958469,0.0611006,-0.0152485,1.92881,2.21513,-2.80636,0,0,-0.764161,0.268119,0,0,0,0.24,-0.850567,0.265869,0.213493
0.700086,0.391507,2.51102,-1.20872,2.8783,0,0,-0.184266,0.0210641,2.05249,-0.382073,2.31056,0.0913551,-1,-0.556125,-0.00896354,0,0,0,0.24,-0.88218,0.0640981,-0.0133732,1.92901,2.21516,-2.80566,0,0,-0.760068,0.268039,0,0,0,0.24,-0.784454,0.26902,0.21511
0.750099,0.389748,2.51097,-1.20886,2.87793,0,0,-0.180281,0.021055,2.04583,-0.39075,2.26899,0.105017,-1,-0.549885,-0.00935901,0,0,0,0.24,-0.805638,0.0674185,-0.0105402,1.92876,2.21524,-2.80559,0,0,-0.756234,0.268127,0,0,0,0.24,-0.725771,0.270932,0.216281
0.800015,0.387228,2.51104,-1.20883,2.87785,0,0,-0.176313,0.0209682,2.03659,-0.401748,2.21031,0.125047,-1,-0.540884,-0.00912936,0,0,0,0.24,-0.717095,0.0694031,-0.00719353,1.92909,2.21494,-2.80709,0,0,-0.752095,0.268108,0,0,0,0.24,-0.639459,0.272433,0.218767
0.850096,0.384843,2.51094,-1.2086,2.87883,0,0,-0.172367,0.0209477,2.02621,-0.41159,2.15546,0.141189,-1,-0.534722,-0.0096228,0,0,0,0.24,-0.65182,0.0709285,-0.00395263,1.92899,2.21505,-2.80634,0,0,-0.748036,0.268269,0,0,0,0.24,-0.588245,0.272195,0.220093
0.900099,0.382,2.51101,-1.20865,2.87869,0,0,-0.168436,0.020913,2.01709,-0.419098,2.10648,0.163299,-1,-0.527295,-0.00956122,0,0,0,0.24,-0.590658,0.0691858,-0.000416111,1.92883,2.21513,-2.80573,0,0,-0.744147,0.268195,0,0,0,0.24,-0.519738,0.273097,0.223198
